"gene_name","gene_ensembl_id","transcripts.group","transcripts.group_name","transcripts.seqnames","transcripts.start","transcripts.end","transcripts.width","transcripts.strand","transcripts.tx_id","transcripts.tx_biotype","transcripts.gene_name"
"Pax9","ENSRNOG00000008826",1,"ENSRNOG00000008826","6",77608624,77621719,13096,"+","ENSRNOT00000011802","protein_coding","Pax9"
"Pitx2","ENSRNOG00000010681",1,"ENSRNOG00000010681","2",233602732,233621051,18320,"+","ENSRNOT00000044232","protein_coding","Pitx2"
"Pitx2","ENSRNOG00000010681",1,"ENSRNOG00000010681","2",233615739,233621129,5391,"+","ENSRNOT00000051009","protein_coding","Pitx2"
"Runx2","ENSRNOG00000020193",1,"ENSRNOG00000020193","9",18564927,18773092,208166,"+","ENSRNOT00000061014","protein_coding","Runx2"
"Shh","ENSRNOG00000006120",1,"ENSRNOG00000006120","4",718538,727691,9154,"-","ENSRNOT00000008497","protein_coding","Shh"
"Apc","ENSRNOG00000020423",1,"ENSRNOG00000020423","18",27047382,27105333,57952,"+","ENSRNOT00000027691","protein_coding","Apc"
"Apc","ENSRNOG00000020423",1,"ENSRNOG00000020423","18",27047418,27105531,58114,"+","ENSRNOT00000090264","protein_coding","Apc"
"Barx1","ENSRNOG00000016915",1,"ENSRNOG00000016915","17",14824734,14828329,3596,"-","ENSRNOT00000022830","protein_coding","Barx1"
"Bcl11b","ENSRNOG00000005776",1,"ENSRNOG00000005776","6",131834097,131926272,92176,"-","ENSRNOT00000084057","protein_coding","Bcl11b"
"Bcl11b","ENSRNOG00000005776",1,"ENSRNOG00000005776","6",131834097,131926272,92176,"-","ENSRNOT00000088421","protein_coding","Bcl11b"
"Bcl11b","ENSRNOG00000005776",1,"ENSRNOG00000005776","6",131836674,131914028,77355,"-","ENSRNOT00000007602","protein_coding","Bcl11b"
"Bmp2","ENSRNOG00000021276",1,"ENSRNOG00000021276","3",126335863,126346318,10456,"+","ENSRNOT00000028904","protein_coding","Bmp2"
"Bmp7","ENSRNOG00000053384",1,"ENSRNOG00000053384","3",170879973,170955399,75427,"-","ENSRNOT00000084990","protein_coding","Bmp7"
"Chuk","ENSRNOG00000022485",1,"ENSRNOG00000022485","1",263848884,263885169,36286,"-","ENSRNOT00000030782","protein_coding","Chuk"
"Eda","ENSRNOG00000032208",1,"ENSRNOG00000032208","X",69730242,70132510,402269,"+","ENSRNOT00000076977","retained_intron","Eda"
"Eda","ENSRNOG00000032208",1,"ENSRNOG00000032208","X",69730242,70220329,490088,"+","ENSRNOT00000075980","protein_coding","Eda"
"Eda","ENSRNOG00000032208",1,"ENSRNOG00000032208","X",69730370,70219513,489144,"+","ENSRNOT00000076425","protein_coding","Eda"
"Edar","ENSRNOG00000028598",1,"ENSRNOG00000028598","20",28179140,28263037,83898,"-","ENSRNOT00000030348","protein_coding","Edar"
"Edaradd","ENSRNOG00000002624",1,"ENSRNOG00000002624","17",90802393,90843485,41093,"+","ENSRNOT00000003535","protein_coding","Edaradd"
"Evc","ENSRNOG00000007564",1,"ENSRNOG00000007564","14",78213635,78253266,39632,"+","ENSRNOT00000010541","protein_coding","Evc"
"Fgf10","ENSRNOG00000012278",1,"ENSRNOG00000012278","2",51672722,51750369,77648,"+","ENSRNOT00000016485","protein_coding","Fgf10"
"Fgf20","ENSRNOG00000000109",1,"ENSRNOG00000000109","16",55152748,55159352,6605,"+","ENSRNOT00000000121","protein_coding","Fgf20"
"Fgf3","ENSRNOG00000020888",1,"ENSRNOG00000020888","1",218003018,218006942,3925,"+","ENSRNOT00000028343","protein_coding","Fgf3"
"Foxi3","ENSRNOG00000006491",1,"ENSRNOG00000006491","4",98775908,98780082,4175,"+","ENSRNOT00000008494","protein_coding","Foxi3"
"Fst","ENSRNOG00000011631",1,"ENSRNOG00000011631","2",46538700,46544457,5758,"-","ENSRNOT00000015680","protein_coding","Fst"
"Gas1","ENSRNOG00000050485",1,"ENSRNOG00000050485","17",4846789,4847940,1152,"+","ENSRNOT00000073271","protein_coding","Gas1"
"Jag2","ENSRNOG00000013927",1,"ENSRNOG00000013927","6",137711155,137733026,21872,"-","ENSRNOT00000019213","protein_coding","Jag2"
"Lrp4","ENSRNOG00000015285",1,"ENSRNOG00000015285","3",80362858,80416679,53822,"+","ENSRNOT00000021353","protein_coding","Lrp4"
"Lrp4","ENSRNOG00000015285",1,"ENSRNOG00000015285","3",80362865,80412815,49951,"+","ENSRNOT00000086242","protein_coding","Lrp4"
"Msx2","ENSRNOG00000018355",1,"ENSRNOG00000018355","17",11683862,11689527,5666,"+","ENSRNOT00000024766","protein_coding","Msx2"
"Pdgfra","ENSRNOG00000002244",1,"ENSRNOG00000002244","14",35527927,35581031,53105,"-","ENSRNOT00000003077","protein_coding","Pdgfra"
"Rps6ka3","ENSRNOG00000006632",1,"ENSRNOG00000006632","X",37469937,37575624,105688,"+","ENSRNOT00000008938","protein_coding","Rps6ka3"
"Smo","ENSRNOG00000008332",1,"ENSRNOG00000008332","4",57019941,57041779,21839,"+","ENSRNOT00000011356","protein_coding","Smo"
"Smo","ENSRNOG00000008332",1,"ENSRNOG00000008332","4",57034675,57042770,8096,"+","ENSRNOT00000080223","protein_coding","Smo"
"Sostdc1","ENSRNOG00000005770",1,"ENSRNOG00000005770","6",55812747,55817066,4320,"+","ENSRNOT00000008106","protein_coding","Sostdc1"
"Sp6","ENSRNOG00000023551",1,"ENSRNOG00000023551","10",84955864,84960045,4182,"+","ENSRNOT00000038572","protein_coding","Sp6"
"Spry2","ENSRNOG00000010058",1,"ENSRNOG00000010058","15",90172975,90175802,2828,"-","ENSRNOT00000013342","protein_coding","Spry2"
"Spry4","ENSRNOG00000013851",1,"ENSRNOG00000013851","18",32594958,32609864,14907,"+","ENSRNOT00000018511","protein_coding","Spry4"
"Wnt10a","ENSRNOG00000052510",1,"ENSRNOG00000052510","9",82053581,82066047,12467,"+","ENSRNOT00000086375","protein_coding","Wnt10a"
"Yap1","ENSRNOG00000005933",1,"ENSRNOG00000005933","8",6135542,6203579,68038,"-","ENSRNOT00000031189","protein_coding","Yap1"
"Yap1","ENSRNOG00000005933",1,"ENSRNOG00000005933","8",6135542,6203579,68038,"-","ENSRNOT00000008074","protein_coding","Yap1"
"Yap1","ENSRNOG00000005933",1,"ENSRNOG00000005933","8",6135542,6203579,68038,"-","ENSRNOT00000085285","protein_coding","Yap1"
"Yap1","ENSRNOG00000005933",1,"ENSRNOG00000005933","8",6140270,6203579,63310,"-","ENSRNOT00000007866","protein_coding","Yap1"
"Yap1","ENSRNOG00000005933",1,"ENSRNOG00000005933","8",6135493,6203515,68023,"-","ENSRNOT00000087278","protein_coding","Yap1"
"Alpl","ENSRNOG00000013954",1,"ENSRNOG00000013954","5",156086497,156141537,55041,"-","ENSRNOT00000019004","protein_coding","Alpl"
"Alpl","ENSRNOG00000013954",1,"ENSRNOG00000013954","5",156086598,156105867,19270,"-","ENSRNOT00000078851","protein_coding","Alpl"
"Ambn","ENSRNOG00000003718",1,"ENSRNOG00000003718","14",21240398,21252538,12141,"-","ENSRNOT00000005003","protein_coding","Ambn"
"Amelx","ENSRNOG00000003965",1,"ENSRNOG00000003965","X",26439197,26450495,11299,"+","ENSRNOT00000052176","protein_coding","Amelx"
"Amelx","ENSRNOG00000003965",1,"ENSRNOG00000003965","X",26439197,26450495,11299,"+","ENSRNOT00000087268","protein_coding","Amelx"
"Amelx","ENSRNOG00000003965",1,"ENSRNOG00000003965","X",26439197,26446499,7303,"+","ENSRNOT00000078843","protein_coding","Amelx"
"Amelx","ENSRNOG00000003965",1,"ENSRNOG00000003965","X",26440584,26446499,5916,"+","ENSRNOT00000087293","protein_coding","Amelx"
"Amelx","ENSRNOG00000003965",1,"ENSRNOG00000003965","X",26440598,26445191,4594,"+","ENSRNOT00000005328","protein_coding","Amelx"
"Amtn","ENSRNOG00000003776",1,"ENSRNOG00000003776","14",21286510,21299068,12559,"-","ENSRNOT00000065778","protein_coding","Amtn"
"Bmi1","ENSRNOG00000016585",1,"ENSRNOG00000016585","17",85364483,85368208,3726,"+","ENSRNOT00000064257","protein_coding","Bmi1"
"Dmp1","ENSRNOG00000002167",1,"ENSRNOG00000002167","14",6889856,6900733,10878,"-","ENSRNOT00000061224","protein_coding","Dmp1"
"Dspp","ENSRNOG00000002168",1,"ENSRNOG00000002168","14",6926976,6933070,6095,"-","ENSRNOT00000002943","protein_coding","Dspp"
"Dspp","ENSRNOG00000002168",1,"ENSRNOG00000002168","14",6928502,6933070,4569,"-","ENSRNOT00000002946","protein_coding","Dspp"
"Enam","ENSRNOG00000003672",1,"ENSRNOG00000003672","14",21194664,21219454,24791,"-","ENSRNOT00000049462","protein_coding","Enam"
"Evc2","ENSRNOG00000007025",1,"ENSRNOG00000007025","14",78129749,78211931,82183,"-","ENSRNOT00000009914","protein_coding","Evc2"
"Fam20a","ENSRNOG00000003969",1,"ENSRNOG00000003969","10",97962693,98018014,55322,"-","ENSRNOT00000005367","protein_coding","Fam20a"
"Fam20c","ENSRNOG00000001314",1,"ENSRNOG00000001314","12",17913767,17972737,58971,"-","ENSRNOT00000001783","protein_coding","Fam20c"
"Fgfr1","ENSRNOG00000016050",1,"ENSRNOG00000016050","16",71266745,71319449,52705,"-","ENSRNOT00000029284","protein_coding","Fgfr1"
"Fgfr1","ENSRNOG00000016050",1,"ENSRNOG00000016050","16",71266248,71319052,52805,"-","ENSRNOT00000050980","protein_coding","Fgfr1"
"Gdnf","ENSRNOG00000012819",1,"ENSRNOG00000012819","2",56887987,56910238,22252,"+","ENSRNOT00000041288","protein_coding","Gdnf"
"Grem2","ENSRNOG00000003616",1,"ENSRNOG00000003616","13",92894431,92988137,93707,"-","ENSRNOT00000004803","protein_coding","Grem2"
"Klk4","ENSRNOG00000018864",1,"ENSRNOG00000018864","1",99829351,99834216,4866,"+","ENSRNOT00000025614","protein_coding","Klk4"
"Mmp14","ENSRNOG00000010947",1,"ENSRNOG00000010947","15",33074441,33083655,9215,"+","ENSRNOT00000075610","protein_coding","Mmp14"
"Mmp20","ENSRNOG00000021896",1,"ENSRNOG00000021896","8",5833359,5875232,41874,"+","ENSRNOT00000033306","protein_coding","Mmp20"
"Mtor","ENSRNOG00000009615",1,"ENSRNOG00000009615","5",165263800,165373967,110168,"+","ENSRNOT00000014167","protein_coding","Mtor"
"Mtor","ENSRNOG00000009615",1,"ENSRNOG00000009615","5",165267368,165372472,105105,"+","ENSRNOT00000080751","protein_coding","Mtor"
"Nectin1","ENSRNOG00000006403",1,"ENSRNOG00000006403","8",48094673,48157305,62633,"+","ENSRNOT00000008614","protein_coding","Nectin1"
"Perp","ENSRNOG00000011994",1,"ENSRNOG00000011994","1",14224393,14236846,12454,"+","ENSRNOT00000016037","protein_coding","Perp"
"Pkd2","ENSRNOG00000002146",1,"ENSRNOG00000002146","14",6602004,6645257,43254,"-","ENSRNOT00000002916","protein_coding","Pkd2"
"Postn","ENSRNOG00000012660",1,"ENSRNOG00000012660","2",143656793,143688085,31293,"+","ENSRNOT00000084527","protein_coding","Postn"
"Postn","ENSRNOG00000012660",1,"ENSRNOG00000012660","2",143656845,143688087,31243,"+","ENSRNOT00000017453","protein_coding","Postn"
"Slc13a5","ENSRNOG00000014870",1,"ENSRNOG00000014870","10",58810058,58834538,24481,"-","ENSRNOT00000020043","protein_coding","Slc13a5"
"Slc39a13","ENSRNOG00000011981",1,"ENSRNOG00000011981","3",79884524,79892429,7906,"-","ENSRNOT00000016191","protein_coding","Slc39a13"
"Sp3","ENSRNOG00000060479",1,"ENSRNOG00000060479","3",59646015,59688692,42678,"-","ENSRNOT00000078752","protein_coding","Sp3"
"Sppl2a","ENSRNOG00000011652",1,"ENSRNOG00000011652","3",119364717,119405453,40737,"-","ENSRNOT00000090355","protein_coding","Sppl2a"
"Sppl2a","ENSRNOG00000011652",1,"ENSRNOG00000011652","3",119361655,119405300,43646,"-","ENSRNOT00000015568","protein_coding","Sppl2a"
"Acvr2b","ENSRNOG00000014477",1,"ENSRNOG00000014477","8",128087345,128118746,31402,"+","ENSRNOT00000019777","protein_coding","Acvr2b"
"Dlx1","ENSRNOG00000001520",1,"ENSRNOG00000001520","3",58164931,58169521,4591,"+","ENSRNOT00000002078","protein_coding","Dlx1"
"Dlx2","ENSRNOG00000001519",1,"ENSRNOG00000001519","3",58180088,58181971,1884,"-","ENSRNOT00000002076","protein_coding","Dlx2"
"Dlx3","ENSRNOG00000004278",1,"ENSRNOG00000004278","10",82937971,82943348,5378,"+","ENSRNOT00000005797","protein_coding","Dlx3"
"Dlx4","ENSRNOG00000004399",1,"ENSRNOG00000004399","10",82958525,82963919,5395,"-","ENSRNOT00000005807","protein_coding","Dlx4"
"Dlx5","ENSRNOG00000010905",1,"ENSRNOG00000010905","4",32387741,32392007,4267,"-","ENSRNOT00000014946","protein_coding","Dlx5"
"Dlx6","ENSRNOG00000010822",1,"ENSRNOG00000010822","4",32373641,32377253,3613,"+","ENSRNOT00000076086","protein_coding","Dlx6"
"Gli2","ENSRNOG00000007261",1,"ENSRNOG00000007261","13",34829139,35048444,219306,"-","ENSRNOT00000009963","protein_coding","Gli2"
"Gli3","ENSRNOG00000014395",1,"ENSRNOG00000014395","17",52294942,52569036,274095,"-","ENSRNOT00000019396","protein_coding","Gli3"
"Gli3","ENSRNOG00000014395",1,"ENSRNOG00000014395","17",52295004,52477575,182572,"-","ENSRNOT00000081290","protein_coding","Gli3"
"Lhx6","ENSRNOG00000005996",1,"ENSRNOG00000005996","3",15411939,15433252,21314,"-","ENSRNOT00000008817","protein_coding","Lhx6"
"Lhx8","ENSRNOG00000028348",1,"ENSRNOG00000028348","2",260574190,260596777,22588,"-","ENSRNOT00000009370","protein_coding","Lhx8"
"Csf1","ENSRNOG00000018659",1,"ENSRNOG00000018659","2",210547076,210550560,3485,"-","ENSRNOT00000086403","protein_coding","Csf1"
"Csf1","ENSRNOG00000018659",1,"ENSRNOG00000018659","2",210522375,210550546,28172,"-","ENSRNOT00000025222","protein_coding","Csf1"
"Csf1","ENSRNOG00000018659",1,"ENSRNOG00000018659","2",210528025,210550490,22466,"-","ENSRNOT00000081835","protein_coding","Csf1"
"Fos","ENSRNOG00000008015",1,"ENSRNOG00000008015","6",109300433,109303299,2867,"+","ENSRNOT00000010712","protein_coding","Fos"
"Ostm1","ENSRNOG00000037647",1,"ENSRNOG00000037647","20",47395014,47430284,35271,"+","ENSRNOT00000057116","protein_coding","Ostm1"
"Tcirg1","ENSRNOG00000017220",1,"ENSRNOG00000017220","1",219127740,219139464,11725,"-","ENSRNOT00000089107","protein_coding","Tcirg1"
"Tcirg1","ENSRNOG00000017220",1,"ENSRNOG00000017220","1",219127602,219139449,11848,"-","ENSRNOT00000023425","protein_coding","Tcirg1"
"Traf6","ENSRNOG00000004639",1,"ENSRNOG00000004639","3",91252829,91271607,18779,"+","ENSRNOT00000006148","protein_coding","Traf6"
