"gene_name","gene_ensembl_id","transcripts.group","transcripts.group_name","transcripts.seqnames","transcripts.start","transcripts.end","transcripts.width","transcripts.strand","transcripts.gene_name"
"Lef1","ENSMUSG00000027985",1,"ENSMUSG00000027985","3",131112797,131117387,4591,"+","Lef1"
"Lef1","ENSMUSG00000027985",1,"ENSMUSG00000027985","3",131112797,131224356,111560,"+","Lef1"
"Lef1","ENSMUSG00000027985",1,"ENSMUSG00000027985","3",131112806,131188082,75277,"+","Lef1"
"Lef1","ENSMUSG00000027985",1,"ENSMUSG00000027985","3",131113814,131184744,70931,"+","Lef1"
"Lef1","ENSMUSG00000027985",1,"ENSMUSG00000027985","3",131113856,131204262,90407,"+","Lef1"
"Msx1","ENSMUSG00000048450",1,"ENSMUSG00000048450","5",37820485,37824583,4099,"-","Msx1"
"Msx1","ENSMUSG00000048450",1,"ENSMUSG00000048450","5",37822703,37824582,1880,"-","Msx1"
"Pax9","ENSMUSG00000001497",1,"ENSMUSG00000001497","12",56691767,56712707,20941,"+","Pax9"
"Pax9","ENSMUSG00000001497",1,"ENSMUSG00000001497","12",56695639,56712822,17184,"+","Pax9"
"Pax9","ENSMUSG00000001497",1,"ENSMUSG00000001497","12",56695729,56710346,14618,"+","Pax9"
"Pitx2","ENSMUSG00000028023",1,"ENSMUSG00000028023","3",129199878,129219590,19713,"+","Pitx2"
"Pitx2","ENSMUSG00000028023",1,"ENSMUSG00000028023","3",129199922,129219578,19657,"+","Pitx2"
"Pitx2","ENSMUSG00000028023",1,"ENSMUSG00000028023","3",129199926,129219591,19666,"+","Pitx2"
"Pitx2","ENSMUSG00000028023",1,"ENSMUSG00000028023","3",129199969,129204577,4609,"+","Pitx2"
"Pitx2","ENSMUSG00000028023",1,"ENSMUSG00000028023","3",129203947,129218897,14951,"+","Pitx2"
"Pitx2","ENSMUSG00000028023",1,"ENSMUSG00000028023","3",129213932,129216774,2843,"+","Pitx2"
"Pitx2","ENSMUSG00000028023",1,"ENSMUSG00000028023","3",129213972,129219588,5617,"+","Pitx2"
"Pitx2","ENSMUSG00000028023",1,"ENSMUSG00000028023","3",129214275,129216624,2350,"+","Pitx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44608001,44814797,206797,"-","Runx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44604001,44814797,210797,"-","Runx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44607905,44814627,206723,"-","Runx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44813906,44814627,722,"-","Runx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44607531,44814581,207051,"-","Runx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44639777,44814264,174488,"-","Runx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44496486,44814226,317741,"-","Runx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44607819,44814226,206408,"-","Runx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44604001,44736648,132648,"-","Runx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44495987,44736176,240190,"-","Runx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44606260,44735710,129451,"-","Runx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44607819,44735634,127816,"-","Runx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44608315,44735366,127052,"-","Runx2"
"Runx2","ENSMUSG00000039153",1,"ENSMUSG00000039153","17",44639681,44734693,95013,"-","Runx2"
"Shh","ENSMUSG00000002633",1,"ENSMUSG00000002633","5",28456815,28467256,10442,"-","Shh"
"Trp63","ENSMUSG00000022510",1,"ENSMUSG00000022510","16",25683763,25821318,137556,"+","Trp63"
"Trp63","ENSMUSG00000022510",1,"ENSMUSG00000022510","16",25683765,25892102,208338,"+","Trp63"
"Trp63","ENSMUSG00000022510",1,"ENSMUSG00000022510","16",25683765,25877144,193380,"+","Trp63"
"Trp63","ENSMUSG00000022510",1,"ENSMUSG00000022510","16",25683765,25892087,208323,"+","Trp63"
"Trp63","ENSMUSG00000022510",1,"ENSMUSG00000022510","16",25801916,25867854,65939,"+","Trp63"
"Trp63","ENSMUSG00000022510",1,"ENSMUSG00000022510","16",25801916,25877144,75229,"+","Trp63"
"Trp63","ENSMUSG00000022510",1,"ENSMUSG00000022510","16",25801916,25892102,90187,"+","Trp63"
"Trp63","ENSMUSG00000022510",1,"ENSMUSG00000022510","16",25801916,25892102,90187,"+","Trp63"
"Apc","ENSMUSG00000005871",1,"ENSMUSG00000005871","18",34220924,34313506,92583,"+","Apc"
"Apc","ENSMUSG00000005871",1,"ENSMUSG00000005871","18",34220984,34322552,101569,"+","Apc"
"Apc","ENSMUSG00000005871",1,"ENSMUSG00000005871","18",34220984,34322189,101206,"+","Apc"
"Apc","ENSMUSG00000005871",1,"ENSMUSG00000005871","18",34221013,34300202,79190,"+","Apc"
"Apc","ENSMUSG00000005871",1,"ENSMUSG00000005871","18",34221252,34276591,55340,"+","Apc"
"Apc","ENSMUSG00000005871",1,"ENSMUSG00000005871","18",34247694,34263695,16002,"+","Apc"
"Apc","ENSMUSG00000005871",1,"ENSMUSG00000005871","18",34247698,34290345,42648,"+","Apc"
"Apc","ENSMUSG00000005871",1,"ENSMUSG00000005871","18",34299966,34314326,14361,"+","Apc"
"Apc","ENSMUSG00000005871",1,"ENSMUSG00000005871","18",34301261,34310737,9477,"+","Apc"
"Barx1","ENSMUSG00000021381",1,"ENSMUSG00000021381","13",48662998,48666507,3510,"+","Barx1"
"Bcl11b","ENSMUSG00000048251",1,"ENSMUSG00000048251","12",107910403,108003602,93200,"-","Bcl11b"
"Bcl11b","ENSMUSG00000048251",1,"ENSMUSG00000048251","12",107915222,108003414,88193,"-","Bcl11b"
"Bcl11b","ENSMUSG00000048251",1,"ENSMUSG00000048251","12",107915222,108003414,88193,"-","Bcl11b"
"Bmp2","ENSMUSG00000027358",1,"ENSMUSG00000027358","2",133552159,133562885,10727,"+","Bmp2"
"Bmp7","ENSMUSG00000008999",1,"ENSMUSG00000008999","2",172868012,172940321,72310,"-","Bmp7"
"Bmp7","ENSMUSG00000008999",1,"ENSMUSG00000008999","2",172916118,172940092,23975,"-","Bmp7"
"Chuk","ENSMUSG00000025199",1,"ENSMUSG00000025199","19",44073335,44107480,34146,"-","Chuk"
"Chuk","ENSMUSG00000025199",1,"ENSMUSG00000025199","19",44073336,44107477,34142,"-","Chuk"
"Chuk","ENSMUSG00000025199",1,"ENSMUSG00000025199","19",44081415,44107469,26055,"-","Chuk"
"Chuk","ENSMUSG00000025199",1,"ENSMUSG00000025199","19",44097197,44107282,10086,"-","Chuk"
"Chuk","ENSMUSG00000025199",1,"ENSMUSG00000025199","19",44077245,44084450,7206,"-","Chuk"
"Chuk","ENSMUSG00000025199",1,"ENSMUSG00000025199","19",44078290,44079282,993,"-","Chuk"
"Chuk","ENSMUSG00000025199",1,"ENSMUSG00000025199","19",44076938,44079035,2098,"-","Chuk"
"Chuk","ENSMUSG00000025199",1,"ENSMUSG00000025199","19",44074373,44075904,1532,"-","Chuk"
"Eda","ENSMUSG00000059327",1,"ENSMUSG00000059327","X",99975606,100400760,425155,"+","Eda"
"Eda","ENSMUSG00000059327",1,"ENSMUSG00000059327","X",99975606,100400760,425155,"+","Eda"
"Eda","ENSMUSG00000059327",1,"ENSMUSG00000059327","X",99975606,100400760,425155,"+","Eda"
"Eda","ENSMUSG00000059327",1,"ENSMUSG00000059327","X",99975606,100400762,425157,"+","Eda"
"Eda","ENSMUSG00000059327",1,"ENSMUSG00000059327","X",99975606,100400762,425157,"+","Eda"
"Eda","ENSMUSG00000059327",1,"ENSMUSG00000059327","X",99975606,100400759,425154,"+","Eda"
"Eda","ENSMUSG00000059327",1,"ENSMUSG00000059327","X",99975606,100311299,335694,"+","Eda"
"Eda","ENSMUSG00000059327",1,"ENSMUSG00000059327","X",99975606,100400759,425154,"+","Eda"
"Eda","ENSMUSG00000059327",1,"ENSMUSG00000059327","X",99975781,100395812,420032,"+","Eda"
"Eda","ENSMUSG00000059327",1,"ENSMUSG00000059327","X",99975781,100397156,421376,"+","Eda"
"Eda","ENSMUSG00000059327",1,"ENSMUSG00000059327","X",100385143,100394438,9296,"+","Eda"
"Eda","ENSMUSG00000059327",1,"ENSMUSG00000059327","X",100387255,100395036,7782,"+","Eda"
"Edar","ENSMUSG00000003227",1,"ENSMUSG00000003227","10",58600789,58675654,74866,"-","Edar"
"Edaradd","ENSMUSG00000095105",1,"ENSMUSG00000095105","13",12472632,12520438,47807,"-","Edaradd"
"Evc","ENSMUSG00000029122",1,"ENSMUSG00000029122","5",37299171,37336894,37724,"-","Evc"
"Evc","ENSMUSG00000029122",1,"ENSMUSG00000029122","5",37319191,37336878,17688,"-","Evc"
"Evc","ENSMUSG00000029122",1,"ENSMUSG00000029122","5",37313269,37336866,23598,"-","Evc"
"Evc","ENSMUSG00000029122",1,"ENSMUSG00000029122","5",37289098,37333566,44469,"-","Evc"
"Evc","ENSMUSG00000029122",1,"ENSMUSG00000029122","5",37316216,37318491,2276,"-","Evc"
"Evc","ENSMUSG00000029122",1,"ENSMUSG00000029122","5",37314565,37318372,3808,"-","Evc"
"Evc","ENSMUSG00000029122",1,"ENSMUSG00000029122","5",37300439,37312364,11926,"-","Evc"
"Evc","ENSMUSG00000029122",1,"ENSMUSG00000029122","5",37299722,37307229,7508,"-","Evc"
"Evc","ENSMUSG00000029122",1,"ENSMUSG00000029122","5",37300484,37301613,1130,"-","Evc"
"Fgf10","ENSMUSG00000021732",1,"ENSMUSG00000021732","13",118669791,118789334,119544,"+","Fgf10"
"Fgf10","ENSMUSG00000021732",1,"ENSMUSG00000021732","13",118669824,118781577,111754,"+","Fgf10"
"Fgf10","ENSMUSG00000021732",1,"ENSMUSG00000021732","13",118714699,118792115,77417,"+","Fgf10"
"Fgf20","ENSMUSG00000031603",1,"ENSMUSG00000031603","8",40279725,40308331,28607,"-","Fgf20"
"Fgf20","ENSMUSG00000031603",1,"ENSMUSG00000031603","8",40279166,40286953,7788,"-","Fgf20"
"Fgf3","ENSMUSG00000031074",1,"ENSMUSG00000031074","7",144838083,144842719,4637,"+","Fgf3"
"Fgf3","ENSMUSG00000031074",1,"ENSMUSG00000031074","7",144838595,144844436,5842,"+","Fgf3"
"Foxi3","ENSMUSG00000055874",1,"ENSMUSG00000055874","6",70956531,70961063,4533,"+","Foxi3"
"Foxi3","ENSMUSG00000055874",1,"ENSMUSG00000055874","6",70956606,70961066,4461,"+","Foxi3"
"Fst","ENSMUSG00000021765",1,"ENSMUSG00000021765","13",114452290,114458951,6662,"-","Fst"
"Fst","ENSMUSG00000021765",1,"ENSMUSG00000021765","13",114452970,114458949,5980,"-","Fst"
"Fst","ENSMUSG00000021765",1,"ENSMUSG00000021765","13",114453342,114458586,5245,"-","Fst"
"Fst","ENSMUSG00000021765",1,"ENSMUSG00000021765","13",114453316,114456236,2921,"-","Fst"
"Fst","ENSMUSG00000021765",1,"ENSMUSG00000021765","13",114453709,114455210,1502,"-","Fst"
"Fst","ENSMUSG00000021765",1,"ENSMUSG00000021765","13",114453105,114454551,1447,"-","Fst"
"Gas1","ENSMUSG00000052957",1,"ENSMUSG00000052957","13",60174405,60177365,2961,"-","Gas1"
"Gas1","ENSMUSG00000052957",1,"ENSMUSG00000052957","13",60175787,60176941,1155,"-","Gas1"
"Jag2","ENSMUSG00000002799",1,"ENSMUSG00000002799","12",112907819,112929776,21958,"-","Jag2"
"Jag2","ENSMUSG00000002799",1,"ENSMUSG00000002799","12",112921837,112928448,6612,"-","Jag2"
"Jag2","ENSMUSG00000002799",1,"ENSMUSG00000002799","12",112915669,112917319,1651,"-","Jag2"
"Jag2","ENSMUSG00000002799",1,"ENSMUSG00000002799","12",112915933,112916834,902,"-","Jag2"
"Jag2","ENSMUSG00000002799",1,"ENSMUSG00000002799","12",112914490,112916400,1911,"-","Jag2"
"Jag2","ENSMUSG00000002799",1,"ENSMUSG00000002799","12",112914382,112915993,1612,"-","Jag2"
"Jag2","ENSMUSG00000002799",1,"ENSMUSG00000002799","12",112913705,112915957,2253,"-","Jag2"
"Jag2","ENSMUSG00000002799",1,"ENSMUSG00000002799","12",112912938,112913692,755,"-","Jag2"
"Jag2","ENSMUSG00000002799",1,"ENSMUSG00000002799","12",112910455,112913180,2726,"-","Jag2"
"Jag2","ENSMUSG00000002799",1,"ENSMUSG00000002799","12",112909277,112910368,1092,"-","Jag2"
"Lrp4","ENSMUSG00000027253",1,"ENSMUSG00000027253","2",91457511,91513779,56269,"+","Lrp4"
"Lrp4","ENSMUSG00000027253",1,"ENSMUSG00000027253","2",91457511,91479287,21777,"+","Lrp4"
"Lrp4","ENSMUSG00000027253",1,"ENSMUSG00000027253","2",91476256,91480871,4616,"+","Lrp4"
"Lrp4","ENSMUSG00000027253",1,"ENSMUSG00000027253","2",91476319,91478842,2524,"+","Lrp4"
"Msx2","ENSMUSG00000021469",1,"ENSMUSG00000021469","13",53466884,53473074,6191,"-","Msx2"
"Msx2","ENSMUSG00000021469",1,"ENSMUSG00000021469","13",53471506,53473074,1569,"-","Msx2"
"Pdgfra","ENSMUSG00000029231",1,"ENSMUSG00000029231","5",75152292,75183517,31226,"+","Pdgfra"
"Pdgfra","ENSMUSG00000029231",1,"ENSMUSG00000029231","5",75152306,75198215,45910,"+","Pdgfra"
"Pdgfra","ENSMUSG00000029231",1,"ENSMUSG00000029231","5",75152352,75175150,22799,"+","Pdgfra"
"Pdgfra","ENSMUSG00000029231",1,"ENSMUSG00000029231","5",75152935,75184131,31197,"+","Pdgfra"
"Pdgfra","ENSMUSG00000029231",1,"ENSMUSG00000029231","5",75153586,75162720,9135,"+","Pdgfra"
"Pdgfra","ENSMUSG00000029231",1,"ENSMUSG00000029231","5",75155076,75163749,8674,"+","Pdgfra"
"Pdgfra","ENSMUSG00000029231",1,"ENSMUSG00000029231","5",75155899,75198201,42303,"+","Pdgfra"
"Pdgfra","ENSMUSG00000029231",1,"ENSMUSG00000029231","5",75156833,75166560,9728,"+","Pdgfra"
"Pdgfra","ENSMUSG00000029231",1,"ENSMUSG00000029231","5",75161834,75167937,6104,"+","Pdgfra"
"Rps6ka3","ENSMUSG00000031309",1,"ENSMUSG00000031309","X",159210307,159364502,154196,"+","Rps6ka3"
"Rps6ka3","ENSMUSG00000031309",1,"ENSMUSG00000031309","X",159255782,159311525,55744,"+","Rps6ka3"
"Rps6ka3","ENSMUSG00000031309",1,"ENSMUSG00000031309","X",159255858,159368244,112387,"+","Rps6ka3"
"Rps6ka3","ENSMUSG00000031309",1,"ENSMUSG00000031309","X",159255925,159328374,72450,"+","Rps6ka3"
"Rps6ka3","ENSMUSG00000031309",1,"ENSMUSG00000031309","X",159256126,159328464,72339,"+","Rps6ka3"
"Rps6ka3","ENSMUSG00000031309",1,"ENSMUSG00000031309","X",159276276,159326872,50597,"+","Rps6ka3"
"Rps6ka3","ENSMUSG00000031309",1,"ENSMUSG00000031309","X",159303281,159330877,27597,"+","Rps6ka3"
"Rps6ka3","ENSMUSG00000031309",1,"ENSMUSG00000031309","X",159362321,159363505,1185,"+","Rps6ka3"
"Rps6ka3","ENSMUSG00000031309",1,"ENSMUSG00000031309","X",159362406,159363740,1335,"+","Rps6ka3"
"Smo","ENSMUSG00000001761",1,"ENSMUSG00000001761","6",29735503,29738004,2502,"+","Smo"
"Smo","ENSMUSG00000001761",1,"ENSMUSG00000001761","6",29735694,29761365,25672,"+","Smo"
"Sostdc1","ENSMUSG00000036169",1,"ENSMUSG00000036169","12",36314139,36318452,4314,"+","Sostdc1"
"Sp6","ENSMUSG00000038560",1,"ENSMUSG00000038560","11",97013394,97024734,11341,"+","Sp6"
"Sp6","ENSMUSG00000038560",1,"ENSMUSG00000038560","11",97018733,97024731,5999,"+","Sp6"
"Spry2","ENSMUSG00000022114",1,"ENSMUSG00000022114","14",105891947,105896819,4873,"-","Spry2"
"Spry4","ENSMUSG00000024427",1,"ENSMUSG00000024427","18",38586247,38601415,15169,"-","Spry4"
"Wnt10a","ENSMUSG00000026167",1,"ENSMUSG00000026167","1",74791516,74804179,12664,"+","Wnt10a"
"Wnt10a","ENSMUSG00000026167",1,"ENSMUSG00000026167","1",74793363,74803495,10133,"+","Wnt10a"
"Yap1","ENSMUSG00000053110",1,"ENSMUSG00000053110","9",7931999,8004596,72598,"-","Yap1"
"Yap1","ENSMUSG00000053110",1,"ENSMUSG00000053110","9",7996908,8004596,7689,"-","Yap1"
"Yap1","ENSMUSG00000053110",1,"ENSMUSG00000053110","9",7931999,8004588,72590,"-","Yap1"
"Yap1","ENSMUSG00000053110",1,"ENSMUSG00000053110","9",7934497,8004390,69894,"-","Yap1"
"Yap1","ENSMUSG00000053110",1,"ENSMUSG00000053110","9",7934497,8004390,69894,"-","Yap1"
"Yap1","ENSMUSG00000053110",1,"ENSMUSG00000053110","9",7934497,8004390,69894,"-","Yap1"
"Yap1","ENSMUSG00000053110",1,"ENSMUSG00000053110","9",7973838,8003775,29938,"-","Yap1"
"Yap1","ENSMUSG00000053110",1,"ENSMUSG00000053110","9",7973796,8003757,29962,"-","Yap1"
"Yap1","ENSMUSG00000053110",1,"ENSMUSG00000053110","9",7934497,8001703,67207,"-","Yap1"
"Yap1","ENSMUSG00000053110",1,"ENSMUSG00000053110","9",7962308,7965821,3514,"-","Yap1"
"Alpl","ENSMUSG00000028766",1,"ENSMUSG00000028766","4",137741733,137796384,54652,"-","Alpl"
"Alpl","ENSMUSG00000028766",1,"ENSMUSG00000028766","4",137755630,137796230,40601,"-","Alpl"
"Alpl","ENSMUSG00000028766",1,"ENSMUSG00000028766","4",137755086,137785371,30286,"-","Alpl"
"Alpl","ENSMUSG00000028766",1,"ENSMUSG00000028766","4",137753867,137782191,28325,"-","Alpl"
"Alpl","ENSMUSG00000028766",1,"ENSMUSG00000028766","4",137758676,137769820,11145,"-","Alpl"
"Alpl","ENSMUSG00000028766",1,"ENSMUSG00000028766","4",137758676,137769615,10940,"-","Alpl"
"Alpl","ENSMUSG00000028766",1,"ENSMUSG00000028766","4",137752552,137766475,13924,"-","Alpl"
"Alpl","ENSMUSG00000028766",1,"ENSMUSG00000028766","4",137746420,137747147,728,"-","Alpl"
"Ambn","ENSMUSG00000029288",1,"ENSMUSG00000029288","5",88455991,88468182,12192,"+","Ambn"
"Ambn","ENSMUSG00000029288",1,"ENSMUSG00000029288","5",88456011,88468531,12521,"+","Ambn"
"Amelx","ENSMUSG00000031354",1,"ENSMUSG00000031354","X",169176114,169187200,11087,"-","Amelx"
"Amelx","ENSMUSG00000031354",1,"ENSMUSG00000031354","X",169180022,169187200,7179,"-","Amelx"
