"gene_name","class","HapploSufficient","mouse_gene_id","mouse_number_of_transcripts","mouse_number_of_exons","rat_gene_id","rat_number_of_transcripts","rat_number_of_exons"
"Edar","shape","Yes","ENSMUSG00000003227",1,12,"ENSRNOG00000028598",1,12
"Edaradd","shape","Yes","ENSMUSG00000095105",1,6,"ENSRNOG00000002624",1,6
"Evc","shape","Yes","ENSMUSG00000029122",9,54,"ENSRNOG00000007564",1,21
"Fgf10","shape","Yes","ENSMUSG00000021732",3,11,"ENSRNOG00000012278",1,3
"Fgf20","shape","Yes","ENSMUSG00000031603",2,5,"ENSRNOG00000000109",1,3
"Fgf3","shape","Yes","ENSMUSG00000031074",2,6,"ENSRNOG00000020888",1,3
"Foxi3","shape","Yes","ENSMUSG00000055874",2,4,"ENSRNOG00000006491",1,2
"Fst","shape","Yes?","ENSMUSG00000021765",6,16,"ENSRNOG00000011631",1,6
"Gas1","shape","Yes?","ENSMUSG00000052957",2,2,"ENSRNOG00000050485",1,1
"Jag2","shape","Yes","ENSMUSG00000002799",10,55,"ENSRNOG00000013927",1,25
"Lrp4","shape","Yes?","ENSMUSG00000027253",4,55,"ENSRNOG00000015285",2,40
"Msx2","shape","Yes","ENSMUSG00000021469",2,3,"ENSRNOG00000018355",1,2
"Pdgfra","shape","Yes?","ENSMUSG00000029231",9,39,"ENSRNOG00000002244",1,23
"Rps6ka3","shape","Yes","ENSMUSG00000031309",9,44,"ENSRNOG00000006632",1,22
"Smo","shape","Yes","ENSMUSG00000001761",2,13,"ENSRNOG00000008332",2,14
"Sostdc1","shape","Yes","ENSMUSG00000036169",1,2,"ENSRNOG00000005770",1,2
"Sp6","shape","Yes?","ENSMUSG00000038560",2,4,"ENSRNOG00000023551",1,2
"Spry2","shape","Yes?","ENSMUSG00000022114",1,2,"ENSRNOG00000010058",1,2
"Spry4","shape","Yes?","ENSMUSG00000024427",1,2,"ENSRNOG00000013851",1,2
"Wnt10a","shape","Yes?","ENSMUSG00000026167",2,5,"ENSRNOG00000052510",1,4
"Yap1","shape","Yes?","ENSMUSG00000053110",10,28,"ENSRNOG00000005933",5,18
"Alpl","tissue","","ENSMUSG00000028766",8,25,"ENSRNOG00000013954",2,18
"Ambn","tissue","","ENSMUSG00000029288",2,14,"ENSRNOG00000003718",1,11
"Amelx","tissue","","ENSMUSG00000031354",5,15,"ENSRNOG00000003965",5,12
"Amtn","tissue","","ENSMUSG00000029282",1,9,"ENSRNOG00000003776",1,9
"Bmi1","tissue","","ENSMUSG00000026739",7,23,"ENSRNOG00000016585",1,10
"Dmp1","tissue","","ENSMUSG00000029307",1,6,"ENSRNOG00000002167",1,5
"Dspp","tissue","","ENSMUSG00000053268",1,5,"ENSRNOG00000002168",2,6
"Enam","tissue","","ENSMUSG00000029286",2,14,"ENSRNOG00000003672",1,10
"Evc2","tissue","","ENSMUSG00000050248",4,36,"ENSRNOG00000007025",1,20
"Fam20a","tissue","","ENSMUSG00000020614",4,24,"ENSRNOG00000003969",1,11
"Fam20c","tissue","","ENSMUSG00000025854",6,28,"ENSRNOG00000001314",1,10
"Fgfr1","tissue","","ENSMUSG00000031565",19,70,"ENSRNOG00000016050",2,21
"Gdnf","tissue","","ENSMUSG00000022144",1,3,"ENSRNOG00000012819",1,3
"Grem2","tissue","","ENSMUSG00000050069",1,2,"ENSRNOG00000003616",1,2
"Klk4","tissue","","ENSMUSG00000006948",1,6,"ENSRNOG00000018864",1,6
"Lama3","tissue","","ENSMUSG00000024421",2,76,NA,NA,NA
"Mmp14","tissue","","ENSMUSG00000000957",7,26,"ENSRNOG00000010947",1,10
"Mmp20","tissue","","ENSMUSG00000018620",1,10,"ENSRNOG00000021896",1,10
"Mtor","tissue","","ENSMUSG00000028991",4,66,"ENSRNOG00000009615",2,61
"Nectin1","tissue","","ENSMUSG00000032012",5,19,"ENSRNOG00000006403",1,6
"Perp","tissue","","ENSMUSG00000019851",1,3,"ENSRNOG00000011994",1,3
"Pkd2","tissue","","ENSMUSG00000034462",3,26,"ENSRNOG00000002146",1,15
"Postn","tissue","","ENSMUSG00000027750",9,41,"ENSRNOG00000012660",2,24
"Slc13a5","tissue","","ENSMUSG00000020805",6,25,"ENSRNOG00000014870",1,13
"Slc39a13","tissue","","ENSMUSG00000002105",11,38,"ENSRNOG00000011981",1,10
"Sp3","tissue","","ENSMUSG00000027109",5,18,"ENSRNOG00000060479",1,6
"Sppl2a","tissue","","ENSMUSG00000027366",3,22,"ENSRNOG00000011652",2,18
"Acvr2b","double","","ENSMUSG00000061393",6,25,"ENSRNOG00000014477",1,11
"Dlx1","double","","ENSMUSG00000041911",6,15,"ENSRNOG00000001520",1,3
"Dlx2","double","","ENSMUSG00000023391",2,5,"ENSRNOG00000001519",1,3
"Dlx3","double","","ENSMUSG00000001510",1,3,"ENSRNOG00000004278",1,3
"Dlx4","double","","ENSMUSG00000020871",2,5,"ENSRNOG00000004399",1,3
"Dlx5","double","","ENSMUSG00000029755",3,7,"ENSRNOG00000010905",1,3
"Dlx6","double","","ENSMUSG00000029754",4,9,"ENSRNOG00000010822",1,3
"Gli2","double","","ENSMUSG00000048402",9,31,"ENSRNOG00000007261",1,14
"Gli3","double","","ENSMUSG00000021318",4,30,"ENSRNOG00000014395",2,21
"Lhx6","double","","ENSMUSG00000026890",9,27,"ENSRNOG00000005996",1,10
"Lhx8","double","","ENSMUSG00000096225",5,22,"ENSRNOG00000028348",1,8
"Csf1","no eruption","","ENSMUSG00000014599",7,26,"ENSRNOG00000018659",3,15
"Fos","no eruption","","ENSMUSG00000021250",4,12,"ENSRNOG00000008015",1,4
"Ostm1","no eruption","","ENSMUSG00000038280",5,18,"ENSRNOG00000037647",1,6
"Pthlh","no eruption","","ENSMUSG00000048776",2,6,NA,NA,NA
"Tcirg1","no eruption","","ENSMUSG00000001750",14,67,"ENSRNOG00000017220",2,29
"Traf6","no eruption","","ENSMUSG00000027164",3,13,"ENSRNOG00000004639",1,7
